Year,Champion,Runner_Up,Finals_MVP
2020,Los Angeles Lakers,Miami Heat,L. James
2019,Toronto Raptors,Golden State Warriors,K. Leonard
2018,Golden State Warriors,Cleveland Cavaliers,K. Durant
2017,Golden State Warriors,Cleveland Cavaliers,K. Durant
2016,Cleveland Cavaliers,Golden State Warriors,L. James
2015,Golden State Warriors,Cleveland Cavaliers,A. Iguodala
2014,San Antonio Spurs,Miami Heat,K. Leonard
2013,Miami Heat,San Antonio Spurs,L. James
2012,Miami Heat,Oklahoma City Thunder,L. James
2011,Dallas Mavericks,Miami Heat,D. Nowitzki
2010,Los Angeles Lakers,Boston Celtics,K. Bryant
2009,Los Angeles Lakers,Orlando Magic,K. Bryant
2008,Boston Celtics,Los Angeles Lakers,P. Pierce
2007,San Antonio Spurs,Cleveland Cavaliers,T. Parker
2006,Miami Heat,Dallas Mavericks,D. Wade
2005,San Antonio Spurs,Detroit Pistons,T. Duncan
2004,Detroit Pistons,Los Angeles Lakers,C. Billups
2003,San Antonio Spurs,New Jersey Nets,T. Duncan
2002,Los Angeles Lakers,New Jersey Nets,S. O'Neal
2001,Los Angeles Lakers,Philadelphia 76ers,S. O'Neal
2000,Los Angeles Lakers,Indiana Pacers,S. O'Neal
1999,San Antonio Spurs,New York Knicks,T. Duncan
1998,Chicago Bulls,Utah Jazz,M. Jordan
1997,Chicago Bulls,Utah Jazz,M. Jordan
1996,Chicago Bulls,Seattle SuperSonics,M. Jordan
1995,Houston Rockets,Orlando Magic,H. Olajuwon
1994,Houston Rockets,New York Knicks,H. Olajuwon
1993,Chicago Bulls,Phoenix Suns,M. Jordan
1992,Chicago Bulls,Portland Trail Blazers,M. Jordan
1991,Chicago Bulls,Los Angeles Lakers,M. Jordan
1990,Detroit Pistons,Portland Trail Blazers,I. Thomas
